name;website;git;technologies;version;description;usage
create-electron-vite;;https://github.com/electron-vite/create-electron-vite;react,vue,vanillajs,electron,scss,css,svg,playwright,typescript;;Boilerplate for Electron, agnostic to package manager, to start applications based on Vue, React or "vanilla" typescript. React template is delivered with SCSS, Vue and vanilla with regular CSS.;npm create electron-vite@latest projectName
vitawind;https://vitawind.vercel.app/;https://github.com/huibizhang/vitawind;angular,react,vue,vanillajs,tailwindcss,css,svg,typescript,javascript,cra;v2;A scaffolding for projects with tailwindcss v3. Agnostic to the package manager. Has the templates with Vite for Vue and React (javascript and typescript), also supports create-react-app and Angular CLI.;"npm init vitawind test-project -- --{template}
cd test-project
npm install
npm {script}

Next tool can be used to generate installation commands for the vitawind:
https://vitawind.vercel.app/scaffolding/creator"
create-vite;https://vitejs.dev/guide/#scaffolding-your-first-vite-project;https://github.com/vitejs/vite/tree/main/packages/create-vite;react,vue,vanillajs,svelte,lit,preact,vite,swc,typescript,javascript;;"Default scaffolder for Vite. List of currently support templates: vanilla, vanilla-ts, vue, vue-ts, react, react-ts, react-swc, react-swc-ts, preact, preact-ts, lit, lit-ts, svelte, svelte-ts.
Also support community templates via degit.";npm create vite@latest my-vue-app -- --template {template}
create-vite-app;;https://github.com/ErKeLost/create-vite-app;vue,vue-router,pinia,eslint,prettier,scss,less,element-plus,open-tiny,ant-design,vuetify,naive ui,devui,arco-design,tdesign,vant,unocss;;"Flexible and beautiful interactive CLI which allows to choose and switch a lot of packages and templates. It also includes a bunch of optional plugins to support JSX, legacy browser, PWA, to visualize rollup plugins and others. 
Be ready to cross over comments and untranslated phrases in Chinese.";npx create-vite-template@latest
nx;https://nx.dev/getting-started/intro;https://github.com/nrwl/nx;nx,react,angular,node,svelte,docusaurus,stencil,solidjs,react-native,cypress,storybook,detox,eslint,esbuild,expo,express,jest,javascript,typescript,rollup,rspack,vite,webcomponents,webpack,nest,next,vitepress,playwright,electron,aws,gcp,ionic,module-federation;;"Nx is a powerful open-source build system with first class monorepo support that provides tools and techniques for enhancing developer productivity, optimizing CI performance, and maintaining code quality.

Nx includes a feature of a code generation with a looot of options via plugins. It may support even .Net!";npx create-nx-workspace@latest
vite-reactts-eslint-prettier;;https://github.com/TheSwordBreaker/vite-reactts-eslint-prettier;react,vite,typescript,prettier,pre-commit,css,yarn;;Vite + React + Typescript + Eslint + Prettier;"npx degit TheSwordBreaker/vite-reactts-eslint-prettier project-name
cd project-name
yarn install
yarn dev"
vitamin;;https://github.com/wtchnm/Vitamin;react,tailwindcss,aliases,testing-library,cypress,vitest,typescript,eslint,prettier,stylelint,husky,lint-staged,github-actions,vercel,pwa,pnpm,vite;;Opinionated Vite starter template. Includes Tailwind CSS v3 with a basic reset for form styles and Prettier plugin to sort classes, unit and e2e testing, PWA, GitHub actions and deploy to vercel.com.;"npx degit wtchnm/Vitamin#main my-app
cd my-app
pnpm install"
react-vite-admin;;https://github.com/ychengcloud/react-vite-admin;react,recoil,react-query,less,css,vite,aliases,typescript,ant-design,yarn,recharts;;"This Starter utilizes React, Recoil, React Query, React Hooks, Typescript, Axios And Vite.
It seems pretty raw, contains example with an unused code and packages.";"git clone https://github.com/ychengcloud/react-vite-admin.git
 cd react-vite-admin
 yarn install"
vite-template-react;;https://github.com/SafdarJamal/vite-template-react;react,css,vite;;It really resemble vite default project. Official description: "A Create React App-like template.";"git clone https://github.com/SafdarJamal/vite-template-react.git
cd vite-template-react
rm -rf .git && git init && npm init
git add .
git commit -m commit-name
npm i
npm start"
vitejs-template-react-rescript;;https://github.com/jihchi/vitejs-template-react-rescript;react,vite,testing-library,vitest,rescript,css;;Integrating ReScript and rescript-react into the official Vite React template;"npx degit jihchi/vitejs-template-react-rescript my-vitejs-react-rescript
cd my-vitejs-react-rescript
npm i
npm start"
template-vite-react;;https://github.com/lzm0x219/template-vite-react;react,typescript,pnpm,tailwindcss,prettier,vite,https,husky,lint-staged,rome;;A minimal React Vite starter template. Includes HTTPS support for local development (vite-plugin-mkcert is used).;"npx degit lzm0x219/template-vite-react myapp
cd myapp
git init"
reactjs-vite-tailwindcss-boilerplate;;https://github.com/joaopaulomoraes/reactjs-vite-tailwindcss-boilerplate;vite,react,typescript,vitest,testing-library,tailwindcss,eslint,prettier,pnpm,aliases;;This is a boilerplate build with Vite, React 18, TypeScript, Vitest, Testing Library, TailwindCSS 3, Eslint and Prettier.;"npx degit joaopaulomoraes/reactjs-vite-tailwindcss-boilerplate my-app
cd my-app
pnpm install"
